0,11.97,21.983,82.282,998.76
485.52,27,26.4,27,1007.1
0,18.54,14.2,67,996.64
34.94,22.5,4.2,91,987.46
328.45,16.38,8.4,73,999.64
569.8,22.6,21.2,32.6,999
69.192,20.1,21.8,66.8,991.18
0,11.24,12.2,91,994.3
416.84,16.02,11,63.2,1000.1
149.56,34.26,28.4,17.6,993.76
1091.4,27.04,43.2,19.6,996.78
0,12.14,5.6,75.6,1002.1
1125.3,18.32,35.4,71.6,1009.7
1055.4,19.16,16.6,52.8,1005.5
1033,23.2,20.2,43.4,999.06
0,16.34,3.2,76.8,995.5
22.674,17.96,10.4,83,996.5
0,18.08,13.4,85.4,998.9
382.53,15.16,8.4,71.4,995.02
859.72,26.96,24.2,42,995.72
873.81,20.06,15.6,43.2,998.9
0,15.9,0,93,998.52
0,13.54,16.6,65.6,1001.5
0,11.828,21.065,82.783,999.83
1043.5,30.34,22.2,34.6,997.2
0,11.62,8.4,76.8,1002.2
1032.8,21.02,13.4,38.4,997.16
101.31,15.92,26.4,61.4,1004.7
1.35,9.4,8.8,95.4,994.46
987.88,18.52,7.2,45.2,1002
71.646,18.4,14.6,46.8,995.22
629.8,27.8,41.2,21.6,994.38
8.222,13.56,17.8,63.4,1006.3
0,6.4,17.2,82,1001.6
460.65,17.62,13.4,64.2,999.9
13.072,23.38,11,27.2,993.3
0,28.48,18.6,52,989.16
874.52,19.1,28.8,36,993.62
971.88,21.46,11.4,46.2,992.58
1066.5,20.22,14.8,43.2,997.7
0,19.28,11,62,997.8
0,9.76,4.6,77.2,1002.2
0,10.44,8,80.4,1001.9
488.43,19.62,2.8,58.8,995.98
1.24,14.18,29.2,57.2,1011.9
0,13.96,9,82.4,993.7
411.12,21.32,24.4,42.8,996.4
985,30.84,40.4,22.4,993.74
0,14.1,15.6,72,1005.8
0,11.22,16.6,77.4,998.7
28.126,15.7,27,68.4,996.64
1006.2,27.44,7.8,50.8,986.24
167.72,12.8,23.8,54.8,1004.3
0,11.96,26.8,63.4,991.08
1145.1,18.56,39,44.4,1009.8
470.01,18.64,24.6,47,999.5
1054.1,24.36,20.2,45.4,991.9
0,20.54,39,73.6,992
0,11.2,11,91,994.3
0,13.28,8.6,89.8,991.26
1047.8,33.62,37.4,18.2,996.3
0,29.2,21.6,48.8,989.1
230.04,22.62,29.2,58.6,993.72
781.45,27.28,28.2,43,985.6
266.77,15.18,37,49.8,1008.3
904.54,17.3,6.2,47.6,1002
0,11.7,12.2,76.4,998.86
1077.5,21.38,24.4,45,997.74
220.53,22.86,27.6,58,993.6
0,7.16,17.4,80.4,1006.1
0,20,35,78.8,991.18
0,11.846,21.18,82.72,999.7
0,16.186,11,49.006,994.94
24.832,23.22,11.8,50.4,996.86
3.124,22.96,20.2,83,993.8
0,11.48,13,93.4,994.32
0,13.38,4.6,71.6,998
1084.6,22.64,53.4,27,984.42
105.09,15.68,22.2,59.4,1000.6
0,27.06,33.8,31.8,991.8
931.37,30.84,35.6,29.8,996.4
833,29.56,36.6,32,999.04
0,13.856,11,65.916,1001.3
0,17.1,8.4,92.2,997.1
724.57,17.5,8.6,63.4,994.5
149.86,19.5,17,56.6,991.14
0,19.56,15.4,36.4,992.1
866.25,18.96,26,49,1003.8
0,11.82,11,90.2,994.3
227.57,14.84,0,79.2,996.4
0,22.3,26.6,21.2,990.1
859.31,16.88,4.2,51.4,1002.1
0,13.14,15.4,68.4,1002
587.75,25.66,23,46.4,995.7
443.88,18.92,15,56.2,992.88
0,18.06,8.4,69.4,996.2
1063.6,17.48,25.6,41.6,1004.7
45.084,9.6,9.8,88,998.3
0,13.338,11,69.674,1002.7
4.188,9.52,11,89.6,997.08
0,10.14,10,84.8,997
0,14.18,9.4,85.2,998.7
20.04,6.38,14.6,79.2,1002
666.48,15.72,22.4,47.6,1006.2
620.52,25.68,20.6,50.4,995.4
0,11.899,21.524,82.532,999.29
215.93,13.36,22.6,69.2,1007
99.14,18.44,28.8,35,993.5
0,13.8,11.8,72.2,999.64
804.39,15.34,28,45,1005.1
0,12.785,19.62,78.443,1003.5
891.45,19.22,29.6,57.4,998.7
89.072,15.3,32,68,989.06
906.99,35.3,22.8,19.2,996.06
1107.5,18.08,24.6,41.4,1004
0,17.36,11,90.2,997.12
907.15,29.34,40.6,32.8,996.6
1097.6,17.66,21.6,45.6,1005.9
1.786,20.72,13.8,47.8,1007.8
0,16.48,15.4,78.6,991.4
95.182,16.48,16,68.2,997.96
0,26.82,33.4,32.2,992
1.074,17.04,10.2,64.4,999.7
1047.4,30.06,16.4,35,997.82
847.8,21.26,14.2,46.6,998.2
1010.1,33.36,38.6,18.6,996.18
0,8.18,15.4,71.6,1004.9
569.81,19.96,14.6,57.6,999.7
0,13.439,22.376,84.299,1002.9
822.83,19.16,26.6,46.6,1004
0,12.627,26.232,79.965,993.77
270.23,26.24,25.6,29,1007.3
0,29.9,15.4,25.6,994.3
71.206,17.34,26.4,76,1000.6
0,28.28,21.6,52.6,989.12
591.09,17.74,24.2,46.2,1005.1
12.086,13.78,24.2,62.4,1002.6
1065.6,25.22,38.4,24,998.26
0,10.82,8,72,1003.6
38.482,13.54,11.8,83.2,996.04
724.97,15.24,26.4,44.4,1004.9
0,15.266,12.157,66.868,1003.2
0,21.32,18.6,70.8,992.58
0,14.4,14.2,73,1000.4
425.25,20.48,42,32.2,985.1
4.614,22.28,9,52.8,996.96
104.78,22.54,8.8,90.2,987.4
0,12.88,15,69.2,1002.1
0,14.26,12.6,93.6,998.56
0.438,14.06,28.6,59,1011.8
1039.6,18.02,34.2,47.8,1009.8
0,13.56,8.2,87.6,991.5
0,22.18,56,21.6,984.42
0,17.88,8.8,93.4,998.7
444.18,15.56,6.8,74.6,1011.8
0,10.66,9.8,78.2,998.76
0,21.66,7.6,89.4,990.8
380.14,16.02,32.8,46,994.38
2.27,18.1,8.2,90.4,997.74
10.528,26.64,30.6,47.8,988.82
12.362,20.1,12.2,93,986.58
50.482,18,13.8,47.8,995.48
81.044,31,23.2,22.4,991.08
2.122,21,21.4,73.6,993.14
429.86,22.52,22,36.4,998.9
298.76,13.94,25.6,50.2,993.8
0,8.1,12.2,90.2,998.5
0,21.84,27.6,23,990.3
1067.3,25.5,17.4,35.6,1009.6
193.64,22.64,21.8,51.4,996.52
538.96,22.7,19.4,40.6,999.06
0,10.34,19.2,57.6,1004.5
196.51,18.38,4.2,85.8,997.9
172.72,25.02,17.6,42.4,996.68
175.34,13.32,5.4,85.4,995
406.4,35.44,26.2,17.8,993.9
1041.6,21.12,14.8,38.6,997.26
0,9.02,9.6,69,1003.7
1036.4,18.02,12,49,998.3
0,22.56,14,94.6,987.6
112.79,27.16,15.8,17.2,993.88
894.79,23.22,25.6,50,996.02
826.72,23.9,20.8,49.4,991.2
0,13.04,10.6,88,1003.1
391.88,14.6,20.2,43,1008.9
1.102,13.32,16.4,64.8,1006.4
35.106,14.48,16,58.2,992.96
50.886,16.36,34.6,82.2,984.38
589.45,18.66,21.4,51.6,1003.4
651.18,27.56,25.2,16,995.2
39.312,19.4,23.8,66.6,999.5
239.96,28.24,29.8,35.2,994.34
0,8.8,11,88.2,1000.8
166.28,26.12,47.6,46.2,987.88
920.08,22.58,15.2,34.4,996.54
0,8.34,18,73.6,1004.9
681.44,17.26,29.6,40.2,994.14
643.14,14.84,10.2,59.2,1002.3
409.06,15.14,5,76,1011.8
986.26,21.78,23.8,52.6,999.28
221.23,15.54,30.4,53.6,1002.1
990.66,18.82,17,52.8,1005.7
1039.9,19.38,11.2,39.2,1001.7
